AAPL, avg price: 142.94033333333334, avg volume: 101512494.33333333
ABNB, avg price: 113.67453333333333, avg volume: 7691974.233333333
ADBE, avg price: 399.92133333333334, avg volume: 3674608.3333333335
ADI, avg price: 158.80866666666668, avg volume: 3677657.8
ADP, avg price: 212.774, avg volume: 1822768.5333333334
ADSK, avg price: 190.72016666666667, avg volume: 1965437.9333333333
ALGN, avg price: 265.737, avg volume: 1164556.5
ALNY, avg price: 129.075, avg volume: 892925.2666666667
AMAT, avg price: 107.85506333333333, avg volume: 8542849.6
AMGN, avg price: 244.38533333333334, avg volume: 3543740.1
AMZN, avg price: 111.64016666666667, avg volume: 97307017.93333334
ANSS, avg price: 249.043, avg volume: 574277.8666666667
AVGO, avg price: 555.136, avg volume: 2773162.9
BIIB, avg price: 198.14566666666667, avg volume: 1106285.9333333333
CAR, avg price: 190.92766666666665, avg volume: 990454.7666666667
CDNS, avg price: 147.04033333333334, avg volume: 1595154.1
CDW, avg price: 166.86266666666666, avg volume: 812030.0333333333
CHRW, avg price: 105.63616666666667, avg volume: 1322551.7333333334
CHTR, avg price: 473.4556666666667, avg volume: 1453071.3666666667
CINF, avg price: 123.81233333333333, avg volume: 548967.3333333334
CME, avg price: 198.447, avg volume: 1806800.8
COST, avg price: 464.146, avg volume: 3460137.7333333334
CPRT, avg price: 110.726, avg volume: 1304751.6666666667
CRWD, avg price: 156.0416, avg volume: 5436244.666666667
CTAS, avg price: 376.06033333333335, avg volume: 565908.5
DLTR, avg price: 153.50783333333334, avg volume: 3041751.066666667
EA, avg price: 130.738, avg volume: 3258824.433333333
ENPH, avg price: 174.68633333333332, avg volume: 2500543.5
ENTG, avg price: 106.029, avg volume: 1255558.2333333334
EQIX, avg price: 658.069, avg volume: 608045.5
EXPD, avg price: 105.634, avg volume: 1478337.7666666666
EXPE, avg price: 122.84233333333333, avg volume: 3807190.8
FANG, avg price: 141.88816666666668, avg volume: 3289136.3
FIVE, avg price: 129.47833333333332, avg volume: 1341627.9666666666
FTNT, avg price: 274.1856666666667, avg volume: 1699581.3333333333
GOOG, avg price: 2242.1858333333334, avg volume: 1625384.3666666667
GOOGL, avg price: 2235.3476666666666, avg volume: 1974255.0666666667
HON, avg price: 191.35485, avg volume: 3096293.3
IDXX, avg price: 359.4261666666667, avg volume: 733205.7333333333
ILMN, avg price: 225.966, avg volume: 1560632.3333333333
INTU, avg price: 382.8065, avg volume: 2225510.6666666665
ISRG, avg price: 214.17716666666666, avg volume: 2099996.2
JBHT, avg price: 169.03233333333333, avg volume: 821798.6666666666
KLAC, avg price: 338.1773333333333, avg volume: 1404358.1
LBRDK, avg price: 117.803, avg volume: 1194182.8333333333
LPLA, avg price: 184.98933333333332, avg volume: 949061.7333333333
LRCX, avg price: 480.08316666666667, avg volume: 1341187.8666666667
MAR, avg price: 163.312, avg volume: 2491609.8
MASI, avg price: 134.6105, avg volume: 987024.0666666667
MDB, avg price: 255.38733333333334, avg volume: 2157615.1666666665
MIDD, avg price: 141.235, avg volume: 662462.0
MKSI, avg price: 115.60133333333333, avg volume: 536718.9666666667
MRNA, avg price: 134.5915, avg volume: 6093993.6
MSFT, avg price: 260.8136666666667, avg volume: 33294241.333333332
NDAQ, avg price: 149.05766666666668, avg volume: 1010123.1666666666
NFLX, avg price: 184.62115, avg volume: 10352123.0
NTRS, avg price: 104.43633333333334, avg volume: 891782.6
NVDA, avg price: 173.3457, avg volume: 59959118.1
ODFL, avg price: 255.63833333333332, avg volume: 984767.8666666667
ORLY, avg price: 615.3366666666667, avg volume: 663171.8333333334
PANW, avg price: 489.38349999999997, avg volume: 1891062.4
PAYX, avg price: 120.23166666666667, avg volume: 1797707.3333333333
PEP, avg price: 166.20848333333333, avg volume: 5886675.866666666
PODD, avg price: 205.75233333333333, avg volume: 625044.9666666667
PTC, avg price: 110.07233333333333, avg volume: 749200.9666666667
QCOM, avg price: 134.30525666666668, avg volume: 9751109.066666666
QRVO, avg price: 104.55366666666667, avg volume: 1544646.1
REGN, avg price: 627.1413333333334, avg volume: 775595.7666666667
RGLD, avg price: 115.255, avg volume: 580882.1
SAIA, avg price: 197.36866666666666, avg volume: 510059.7
SBAC, avg price: 325.5813333333333, avg volume: 732959.1666666666
SBNY, avg price: 200.90333333333334, avg volume: 1349174.4333333333
SGEN, avg price: 138.02433333333335, avg volume: 1646744.0333333334
SIVB, avg price: 450.9345, avg volume: 638723.7666666667
SNPS, avg price: 298.2056666666667, avg volume: 1023138.8666666667
SWAV, avg price: 163.946, avg volume: 844432.8
SWKS, avg price: 102.063, avg volume: 2157815.466666667
SYNA, avg price: 140.19633333333334, avg volume: 508389.9666666667
TER, avg price: 101.708, avg volume: 1744980.8
TMUS, avg price: 129.41733333333335, avg volume: 4524794.0
TROW, avg price: 120.17933333333333, avg volume: 1774706.9666666666
TSCO, avg price: 191.80433333333332, avg volume: 1340956.0333333334
TSLA, avg price: 716.3908333333334, avg volume: 32351611.366666667
TTWO, avg price: 120.91866666666667, avg volume: 4061548.933333333
TXN, avg price: 166.5265, avg volume: 5969577.433333334
ULTA, avg price: 390.82966666666664, avg volume: 1039275.1333333333
UTHR, avg price: 208.87933333333334, avg volume: 569095.7
VRSK, avg price: 170.508, avg volume: 1012329.5666666667
VRSN, avg price: 168.63533333333334, avg volume: 851703.6666666666
VRTX, avg price: 258.523, avg volume: 1663974.1666666667
WDAY, avg price: 161.32, avg volume: 3929871.7333333334
